order_id,symbol,direction,created_at,entry,sl,tp1,tp2,rr,confidence,stop_pct,volume,24h_change,strategy_id,telegram_pushed,alert_id,source_opportunity_ids,repeat_count
137,GUAUSDT,SHORT,2026-06-21T08:18:03+00:00,0.82121657,0.861,0.78143314,0.74164971,2.00,MEDIUM,4.844,N/A,N/A,hotlist_v1,N,,146,1
138,GUAUSDT,SHORT,2026-06-21T07:45:36+00:00,0.8324875,0.861,0.803975,0.7754625,2.00,MEDIUM,3.425,N/A,N/A,hotlist_v1,N,,137,1
139,GUAUSDT,SHORT,2026-06-21T08:02:27+00:00,0.83589464,0.86427321,0.80751607,0.7791375,2.00,WEAK,3.395,N/A,N/A,hotlist_v1,N,,144,1
140,GUAUSDT,SHORT,2026-06-19T15:07:17+00:00,0.88563214,0.91416071,0.85710357,0.828575,2.00,MEDIUM,3.221,N/A,N/A,hotlist_v1,Y,38,63,1
141,GUAUSDT,SHORT,2026-06-19T10:36:55+00:00,0.88864783,1.0832,0.69409566,0.4995435,2.00,WEAK,21.893,N/A,N/A,hotlist_v1,Y,38,60,1
142,GUAUSDT,SHORT,2026-06-19T10:22:26+00:00,0.89466175,1.0832,0.7061235,0.51758525,2.00,WEAK,21.074,N/A,N/A,hotlist_v1,N,,54,1
143,HEIUSDT,LONG,2026-06-19T06:21:25+00:00,0.09969987,0.08965,0.10974974,0.11979961,2.00,MEDIUM,10.08,N/A,N/A,hotlist_v1,N,,27,1
144,HEIUSDT,LONG,2026-06-19T07:14:48+00:00,0.10513767,0.09117,0.11910535,0.13307302,2.00,MEDIUM,13.285,N/A,N/A,hotlist_v1,N,,31,1
145,HEIUSDT,LONG,2026-06-19T07:54:09+00:00,0.11172167,0.09339,0.13005334,0.148385,2.00,MEDIUM,16.408,N/A,N/A,hotlist_v1,N,,37,1
146,HEIUSDT,LONG,2026-06-19T08:09:29+00:00,0.11427817,0.09339,0.13516634,0.1560545,2.00,MEDIUM,18.278,N/A,N/A,hotlist_v1,N,,42,1
147,HEIUSDT,LONG,2026-06-19T08:28:28+00:00,0.11630665,0.09339,0.13922329,0.16213994,2.00,MEDIUM,19.704,N/A,N/A,hotlist_v1,N,,48,1
