id,symbol,direction,entry,sl,tp1,created_at,status,fill_time,exit_time,wait_min,hold_min,pnl
131,GUAUSDT,SHORT,0.81992243,0.861,0.77884486,2026-06-21T07:19:29+00:00,TP1,2026-06-21T07:30:00+00:00,2026-06-21T08:30:00+00:00,10.516666666666667,60.0,5.00993368360468
141,TNSRUSDT,LONG,0.04070667,0.0312,0.05021334,2026-06-21T08:02:27+00:00,EXPIRED,,,,,
148,TNSRUSDT,LONG,0.04127016,0.0312,0.05134031,2026-06-21T08:18:03+00:00,TP1,2026-06-21T19:00:00+00:00,2026-06-22T00:15:00+00:00,641.95,315.0,24.400559629524093
143,BTRUSDT,LONG,0.02499271,0.02239,0.02759541,2026-06-21T08:02:27+00:00,SL,2026-06-21T08:15:00+00:00,2026-06-21T11:30:00+00:00,12.55,195.0,-10.413876686441766
147,LABUSDT,LONG,14.45095162,13.062,15.83990324,2026-06-21T08:18:03+00:00,SL,2026-06-21T14:00:00+00:00,2026-06-21T16:15:00+00:00,341.95,135.0,-9.611488962966995
149,ALICEUSDT,LONG,0.15239821,0.14719107,0.15760536,2026-06-21T08:18:03+00:00,TP1,2026-06-21T08:30:00+00:00,2026-06-21T09:45:00+00:00,11.95,75.0,3.4168052236309077
150,BTRUSDT,LONG,0.02407304,0.02239,0.02575607,2026-06-21T08:18:03+00:00,SL,2026-06-21T08:30:00+00:00,2026-06-21T11:30:00+00:00,11.95,180.0,-6.991389537839841
155,TNSRUSDT,LONG,0.04178691,0.0312,0.05237383,2026-06-21T08:32:27+00:00,TP1,2026-06-21T19:00:00+00:00,2026-06-22T00:15:00+00:00,627.55,315.0,25.335493818518767
152,BULLAUSDT,LONG,0.00488565,0.004521,0.0052503,2026-06-21T08:32:27+00:00,EXPIRED,,,,,
151,ALICEUSDT,LONG,0.15126964,0.14594821,0.15659107,2026-06-21T08:32:27+00:00,TP1,2026-06-21T08:45:00+00:00,2026-06-21T09:45:00+00:00,12.55,60.0,3.5178440300380167
154,LABUSDT,LONG,14.53877144,13.062,16.01554288,2026-06-21T08:32:27+00:00,SL,2026-06-21T14:00:00+00:00,2026-06-21T16:15:00+00:00,327.55,135.0,-10.157470637010029
159,LABUSDT,LONG,15.04453447,14.045,16.04406894,2026-06-21T10:48:45+00:00,SL,2026-06-21T13:00:00+00:00,2026-06-21T14:45:00+00:00,131.25,105.0,-6.643837813613651
163,BTWUSDT,SHORT,0.08634208,0.12666,0.04602417,2026-06-21T18:33:56+00:00,TIMEOUT,2026-06-21T18:45:00+00:00,2026-06-22T18:45:00+00:00,11.066666666666666,1440.0,0.0
