id,symbol,direction,entry,sl,tp1,tp2,rr,confidence,created_at
141,TNSRUSDT,LONG,0.04070667,0.0312,0.05021334,0.05972001,2.00,MEDIUM,2026-06-21T08:02:27+00:00
142,ALICEUSDT,LONG,0.15175893,0.14639464,0.15712321,0.1624875,2.00,WEAK,2026-06-21T08:02:27+00:00
143,BTRUSDT,LONG,0.02499271,0.02239,0.02759541,0.03019812,2.00,WEAK,2026-06-21T08:02:27+00:00
144,GUAUSDT,SHORT,0.83589464,0.86427321,0.80751607,0.7791375,2.00,WEAK,2026-06-21T08:02:27+00:00
145,LABUSDT,LONG,14.37388992,12.745,16.00277983,17.63166975,2.00,WEAK,2026-06-21T08:02:27+00:00
147,LABUSDT,LONG,14.45095162,13.062,15.83990324,17.22885487,2.00,MEDIUM,2026-06-21T08:18:03+00:00
148,TNSRUSDT,LONG,0.04127016,0.0312,0.05134031,0.06141047,2.00,MEDIUM,2026-06-21T08:18:03+00:00
149,ALICEUSDT,LONG,0.15239821,0.14719107,0.15760536,0.1628125,2.00,WEAK,2026-06-21T08:18:03+00:00
150,BTRUSDT,LONG,0.02407304,0.02239,0.02575607,0.02743911,2.00,WEAK,2026-06-21T08:18:03+00:00
151,ALICEUSDT,LONG,0.15126964,0.14594821,0.15659107,0.1619125,2.00,MEDIUM,2026-06-21T08:32:27+00:00
152,BULLAUSDT,LONG,0.00488565,0.004521,0.0052503,0.00561495,2.00,MEDIUM,2026-06-21T08:32:27+00:00
154,LABUSDT,LONG,14.53877144,13.062,16.01554288,17.49231432,2.00,MEDIUM,2026-06-21T08:32:27+00:00
155,TNSRUSDT,LONG,0.04178691,0.0312,0.05237383,0.06296074,2.00,MEDIUM,2026-06-21T08:32:27+00:00
156,BTWUSDT,SHORT,0.10430125,0.10950625,0.09909625,0.09389125,2.00,MEDIUM,2026-06-21T10:48:45+00:00
157,GUAUSDT,SHORT,0.77116355,0.8419,0.7004271,0.62969065,2.00,MEDIUM,2026-06-21T10:48:45+00:00
158,BTRUSDT,LONG,0.02346214,0.02271071,0.02421357,0.024965,2.00,WEAK,2026-06-21T10:48:45+00:00
159,LABUSDT,LONG,15.04453447,14.045,16.04406894,17.04360342,2.00,WEAK,2026-06-21T10:48:45+00:00
160,TNSRUSDT,LONG,0.04652132,0.03268,0.06036263,0.07420395,2.00,WEAK,2026-06-21T10:48:45+00:00
161,1000000BOBUSDT,LONG,0.01279587,0.01172,0.01387175,0.01494762,2.00,MEDIUM,2026-06-21T18:33:56+00:00
162,UBUSDT,LONG,0.10290819,0.08724,0.11857637,0.13424456,2.00,MEDIUM,2026-06-21T18:33:56+00:00
163,BTWUSDT,SHORT,0.08634208,0.12666,0.04602417,0.00570625,2.00,WEAK,2026-06-21T18:33:56+00:00
164,RESOLVUSDT,LONG,0.02375775,0.0178,0.0297155,0.03567325,2.00,WEAK,2026-06-21T18:33:56+00:00
165,TNSRUSDT,LONG,0.04362821,0.04150107,0.04575536,0.0478825,2.00,WEAK,2026-06-21T18:33:56+00:00
166,BTWUSDT,SHORT,0.08984804,0.11934,0.06035607,0.03086411,2.00,WEAK,2026-06-21T18:48:39+00:00
167,CLOUSDT,SHORT,0.18204324,0.199,0.16508648,0.14812972,2.00,WEAK,2026-06-21T18:48:39+00:00
168,RESOLVUSDT,LONG,0.02389339,0.01785,0.02993677,0.03598016,2.00,WEAK,2026-06-21T18:48:39+00:00
169,TNSRUSDT,LONG,0.04292536,0.04094679,0.04490393,0.0468825,2.00,WEAK,2026-06-21T18:48:39+00:00
170,UBUSDT,LONG,0.1036005,0.08724,0.119961,0.13632151,2.00,WEAK,2026-06-21T18:48:39+00:00
171,UBUSDT,LONG,0.10579631,0.09159,0.12000261,0.13420892,2.00,MEDIUM,2026-06-21T19:38:26+00:00
172,BTWUSDT,SHORT,0.08854821,0.09785,0.07924643,0.06994464,2.00,WEAK,2026-06-21T19:38:26+00:00
173,CLOUSDT,SHORT,0.18283643,0.1918,0.17387286,0.16490929,2.00,WEAK,2026-06-21T19:38:26+00:00
174,RESOLVUSDT,LONG,0.02273286,0.02022,0.02524571,0.02775857,2.00,WEAK,2026-06-21T19:38:26+00:00
176,BTWUSDT,SHORT,0.09108714,0.09785,0.08432429,0.07756143,2.00,WEAK,2026-06-21T19:54:07+00:00
177,CLOUSDT,SHORT,0.18140925,0.18905,0.1737685,0.16612774,2.00,WEAK,2026-06-21T19:54:07+00:00
178,RESOLVUSDT,LONG,0.02264054,0.02022,0.02506107,0.02748161,2.00,WEAK,2026-06-21T19:54:07+00:00
179,TNSRUSDT,LONG,0.0430425,0.04081,0.045275,0.0475075,2.00,WEAK,2026-06-21T19:54:07+00:00
180,UBUSDT,LONG,0.10636992,0.09159,0.12114984,0.13592976,2.00,WEAK,2026-06-21T19:54:07+00:00
186,TNSRUSDT,LONG,0.044511,0.04081,0.048212,0.051913,2.00,MEDIUM,2026-06-21T20:01:12+00:00
189,RESOLVUSDT,LONG,0.02212304,0.02022,0.02402607,0.02592911,2.00,WEAK,2026-06-21T20:01:12+00:00
190,UBUSDT,LONG,0.10679383,0.09273,0.12085766,0.13492149,2.00,WEAK,2026-06-21T20:01:12+00:00
206,TNSRUSDT,LONG,0.04468116,0.04081,0.04855232,0.05242348,2.00,MEDIUM,2026-06-21T20:26:22+00:00
207,BTWUSDT,SHORT,0.08671,0.09703,0.07639,0.06607,2.00,WEAK,2026-06-21T20:26:22+00:00
208,DRIFTUSDT,LONG,0.02024003,0.01905,0.02143006,0.02262009,2.00,WEAK,2026-06-21T20:26:22+00:00
209,RESOLVUSDT,LONG,0.02228518,0.02022,0.02435036,0.02641554,2.00,WEAK,2026-06-21T20:26:22+00:00
210,UBUSDT,LONG,0.10729891,0.09472,0.11987782,0.13245672,2.00,WEAK,2026-06-21T20:26:22+00:00
216,CLOUSDT,SHORT,0.18556107,0.18905,0.18207214,0.17858321,2.00,MEDIUM,2026-06-21T20:31:48+00:00
217,TNSRUSDT,LONG,0.04485756,0.04081,0.04890513,0.05295269,2.00,MEDIUM,2026-06-21T20:31:48+00:00
218,UBUSDT,LONG,0.10788286,0.0952,0.12056573,0.13324859,2.00,MEDIUM,2026-06-21T20:31:48+00:00
220,RESOLVUSDT,LONG,0.02190982,0.02022,0.02359964,0.02528946,2.00,WEAK,2026-06-21T20:31:48+00:00
231,BTWUSDT,SHORT,0.09976929,0.10362,0.09591857,0.09206786,2.00,MEDIUM,2026-06-22T03:14:56+00:00
232,SYNUSDT,LONG,0.19039875,0.16206,0.21873749,0.24707624,2.00,MEDIUM,2026-06-22T03:14:56+00:00
233,NAORISUSDT,LONG,0.03920709,0.03718,0.04123417,0.04326126,2.00,WEAK,2026-06-22T03:14:56+00:00
235,UBUSDT,LONG,0.11529331,0.1082,0.12238662,0.12947993,2.00,WEAK,2026-06-22T03:14:56+00:00
236,BICOUSDT,SHORT,0.04424472,0.04582,0.04266944,0.04109416,2.00,MEDIUM,2026-06-22T03:29:35+00:00
237,SYNUSDT,LONG,0.19123722,0.16518,0.21729444,0.24335166,2.00,MEDIUM,2026-06-22T03:29:35+00:00
238,TNSRUSDT,LONG,0.04253339,0.04026696,0.04479982,0.04706625,2.00,MEDIUM,2026-06-22T03:29:35+00:00
239,NAORISUSDT,LONG,0.03938984,0.03718,0.04159967,0.04380951,2.00,WEAK,2026-06-22T03:29:35+00:00
240,UBUSDT,LONG,0.11569952,0.1082,0.12319905,0.13069857,2.00,WEAK,2026-06-22T03:29:35+00:00
241,NAORISUSDT,LONG,0.03963223,0.03816,0.04110446,0.04257669,2.00,MEDIUM,2026-06-22T03:36:32+00:00
242,UBUSDT,LONG,0.11617832,0.1082,0.12415664,0.13213497,2.00,MEDIUM,2026-06-22T03:36:32+00:00
244,SYNUSDT,LONG,0.1919601,0.16518,0.21874021,0.24552031,2.00,WEAK,2026-06-22T03:36:32+00:00
245,TNSRUSDT,LONG,0.04278232,0.04055161,0.04501304,0.04724375,2.00,WEAK,2026-06-22T03:36:32+00:00
251,TNSRUSDT,LONG,0.04526875,0.04258,0.0479575,0.05064625,2.00,MEDIUM,2026-06-22T03:49:39+00:00
252,UBUSDT,LONG,0.1167408,0.109,0.1244816,0.13222239,2.00,MEDIUM,2026-06-22T03:49:39+00:00
253,ALICEUSDT,SHORT,0.13771986,0.1439,0.13153973,0.12535959,2.00,WEAK,2026-06-22T03:49:39+00:00
254,BICOUSDT,SHORT,0.04405875,0.04582,0.0422975,0.04053625,2.00,WEAK,2026-06-22T03:49:39+00:00
255,SYNUSDT,LONG,0.19246496,0.16518,0.21974992,0.24703488,2.00,WEAK,2026-06-22T03:49:39+00:00
256,GUAUSDT,SHORT,0.62155426,0.661,0.58210852,0.54266278,2.00,MEDIUM,2026-06-22T06:48:56+00:00
257,HMSTRUSDT,LONG,0.00019803,0.0001853,0.00021077,0.0002235,2.00,MEDIUM,2026-06-22T06:48:56+00:00
258,SYNUSDT,LONG,0.20500174,0.19275,0.21725348,0.22950522,2.00,MEDIUM,2026-06-22T06:48:56+00:00
259,UBUSDT,LONG,0.12769502,0.11421,0.14118004,0.15466506,2.00,MEDIUM,2026-06-22T06:48:56+00:00
260,IDUSDT,LONG,0.0350993,0.03124,0.0389586,0.0428179,2.00,WEAK,2026-06-22T06:48:56+00:00
266,GUAUSDT,SHORT,0.61819064,0.661,0.57538128,0.53257191,2.00,MEDIUM,2026-06-22T07:06:08+00:00
267,HMSTRUSDT,LONG,0.00019915,0.0001853,0.00021299,0.00022684,2.00,MEDIUM,2026-06-22T07:06:08+00:00
268,IDUSDT,LONG,0.03526648,0.0316,0.03893297,0.04259945,2.00,MEDIUM,2026-06-22T07:06:08+00:00
269,UBUSDT,LONG,0.12868808,0.11524,0.14213616,0.15558424,2.00,MEDIUM,2026-06-22T07:06:08+00:00
270,SYNUSDT,LONG,0.20589112,0.19275,0.21903224,0.23217335,2.00,WEAK,2026-06-22T07:06:08+00:00
271,HUSDT,SHORT,0.15830161,0.178,0.13860322,0.11890483,2.00,MEDIUM,2026-06-22T11:09:50+00:00
272,LAYERUSDT,LONG,0.07078144,0.06638,0.07518289,0.07958433,2.00,MEDIUM,2026-06-22T11:09:50+00:00
273,SYNUSDT,LONG,0.25647391,0.20681,0.30613782,0.35580173,2.00,MEDIUM,2026-06-22T11:09:50+00:00
274,IDUSDT,LONG,0.03625536,0.03511679,0.03739393,0.0385325,2.00,WEAK,2026-06-22T11:09:50+00:00
275,UBUSDT,LONG,0.11730661,0.11041304,0.12420018,0.13109375,2.00,WEAK,2026-06-22T11:09:50+00:00
281,HUSDT,SHORT,0.15629826,0.17501,0.13758651,0.11887477,2.00,MEDIUM,2026-06-22T11:18:00+00:00
282,LAYERUSDT,LONG,0.07245513,0.06644,0.07847026,0.0844854,2.00,MEDIUM,2026-06-22T11:18:00+00:00
283,IDUSDT,LONG,0.03736774,0.03622774,0.03850774,0.03964774,2.00,WEAK,2026-06-22T11:18:00+00:00
284,SYNUSDT,LONG,0.25878939,0.20681,0.31076878,0.36274817,2.00,WEAK,2026-06-22T11:18:00+00:00
286,HUSDT,SHORT,0.15395367,0.17437,0.13353734,0.11312102,2.00,MEDIUM,2026-06-22T11:33:13+00:00
287,LAYERUSDT,LONG,0.0739556,0.06644,0.0814712,0.0889868,2.00,MEDIUM,2026-06-22T11:33:13+00:00
288,SYNUSDT,LONG,0.26127415,0.20681,0.3157383,0.37020245,2.00,MEDIUM,2026-06-22T11:33:13+00:00
290,UBUSDT,LONG,0.11149286,0.10466429,0.11832143,0.12515,2.00,WEAK,2026-06-22T11:33:13+00:00
296,BELUSDT,LONG,0.17073169,0.16176,0.17970339,0.18867508,2.00,MEDIUM,2026-06-22T12:54:49+00:00
